twitter_account,twitter_user,full_name,party,followers,tweet_count,retweets_total,favorites_total,retweets_per_tweet,favorites_per_tweet
RepBrianHiggins,Brian Higgins,Brian Higgins,D,27413,2701,13224,36838,4.895964457608293,13.638652350981118
CongPalazzo,Cong. Steven Palazzo,Steven Palazzo,R,17382,2056,17552,47725,8.536964980544747,23.212548638132297
RepJohnLarson,Rep. John Larson,John B. Larson,D,28035,2247,17338,36316,7.716065865598575,16.161993769470406
RepFletcher,Rep. Lizzie Fletcher,Lizzie Fletcher,D,29012,1290,9084,44100,7.0418604651162795,34.18604651162791
RepDianaDeGette,Rep. Diana DeGette,Diana DeGette,D,68759,2579,101165,267069,39.2264443582784,103.55525397440869
USRepRickNolan,Fmr. US Rep. Rick Nolan,Rick Nolan,D,11487,727,7404,18651,10.184319119669876,25.65474552957359
Gwen4Congress,Gwen S. Moore,Gwen Moore,D,3886,688,3255,8234,4.7311046511627906,11.968023255813954
GT_TeamGT,Team GT - Friends of Glenn Thompson,Glenn Thompson,R,1162,834,219,274,0.26258992805755393,0.328537170263789
PatrickMcHenry,Patrick McHenry,Patrick McHenry,R,31057,1176,10736,30909,9.129251700680273,26.283163265306122
daveloebsack,Archive: Dave Loebsack (Retired US Rep),Dave Loebsack,D,9887,663,3873,12419,5.841628959276018,18.731523378582203
RichHudson,Richard Hudson,Richard Hudson,R,3557,71,137,532,1.9295774647887325,7.492957746478873
DocAbraham,Dr. Ralph Abraham,Ralph Abraham,R,3738,873,5553,17169,6.360824742268041,19.666666666666668
DrNealDunnFL2,Dr. Neal Dunn,Neal Dunn,R,9779,1230,3932,15531,3.196747967479675,12.626829268292683
SenToomey,Senator Pat Toomey,Pat Toomey,R,179005,1366,37317,138939,27.31844802342606,101.71229868228404
RepBobbyRush,Bobby L. Rush,Bobby Rush,D,36445,2560,140725,565230,54.970703125,220.79296875
RepMichaelGuest,Congressman Michael Guest,Michael Guest,R,8353,552,5793,25139,10.494565217391305,45.541666666666664
RepJimBaird,Congressman Jim Baird,Jim Baird,R,6888,274,763,2567,2.7846715328467155,9.36861313868613
AustinScottGA08,Rep. Austin Scott,Austin Scott,R,25756,872,9346,20242,10.71788990825688,23.21330275229358
Boozman4AR,John Boozman,John Boozman,R,5401,215,407,1817,1.8930232558139535,8.451162790697675
JamesComer,James Comer,James Comer,R,16203,707,7596,45405,10.743988684582744,64.22206506364923
GReschenthaler,Rep. Guy Reschenthaler,Guy Reschenthaler,R,24078,726,41113,113700,56.629476584022036,156.61157024793388
RepJohnDelaney,Archive: Rep. John Delaney,John Delaney,D,17888,1089,6643,19229,6.100091827364555,17.657483930211203
RepSpeier,Jackie Speier,Jackie Speier,D,193210,3148,598903,1914161,190.2487293519695,608.0562261753495
JoyceBeatty,Joyce Beatty,Joyce Beatty,D,9089,621,5653,12883,9.103059581320451,20.745571658615138
RepSlotkin,Rep. Elissa Slotkin,Elissa Slotkin,D,75704,804,94047,452702,116.97388059701493,563.0621890547263
RepDebDingell,Rep. Debbie Dingell,Debbie Dingell,D,98366,2811,178296,833491,63.42796157950907,296.5104944859481
RepTedBudd,Congressman Ted Budd,Ted Budd,R,41218,1875,48788,156366,26.020266666666668,83.3952
DickDurbin,Dick Durbin,Dick Durbin,D,33430,4049,130704,299300,32.28056310200049,73.91948629291183
SenJackReed,Senator Jack Reed,Jack Reed,D,106969,2062,74621,198269,36.188651794374394,96.15373423860329
SanfordBishop,"Sanford Bishop, Jr.",Sanford Bishop,D,26013,492,2045,4204,4.15650406504065,8.544715447154472
benraylujan,Ben Ray Lujan,Ben Ray Lujan,D,11300,1059,14153,37703,13.364494806421153,35.6024551463645
RepFredKeller,Congressman Fred Keller,Fred Keller,R,12822,957,57625,181907,60.214211076280044,190.08045977011494
RepBobGibbs,Rep. Bob Gibbs,Bob Gibbs,R,38297,597,6306,13973,10.56281407035176,23.40536013400335
RepTerriSewell,Rep. Terri A. Sewell,Terri Sewell,D,51168,3015,116368,312226,38.596351575456055,103.5575456053068
RepLaMalfa,Rep. Doug LaMalfa,Doug LaMalfa,R,25396,1081,33402,101364,30.899167437557818,93.76873265494912
SteveDaines,Steve Daines,Steve Daines,R,71536,2261,82485,385912,36.481645289694825,170.68199911543564
govkristinoem,Governor Kristi Noem,Kristi Noem,R,437820,1525,10687,49967,7.0078688524590165,32.76524590163935
chiproytx,Chip Roy,Chip Roy,R,58759,8342,123917,441318,14.85459122512587,52.90314073363702
ChrisMurphyCT,Chris Murphy,Chris Murphy,D,1041441,5336,7817910,26042787,1465.1255622188905,4880.582271364317
RepWalorski,Jackie Walorski,Jackie Walorski,R,22480,1323,11403,41982,8.619047619047619,31.732426303854876
ScottforFlorida,Rick Scott,Rick Scott,R,147883,1447,276073,851956,190.78991015894954,588.77401520387
SenatorLeahy,Sen. Patrick Leahy,Patrick Leahy,D,231301,4173,1006401,2493781,241.16966211358735,597.5990893841362
RepDevinNunes,Rep. Devin Nunes,Devin Nunes,R,48176,74,26971,88864,364.47297297297297,1200.8648648648648
RepMalinowski,Rep. Tom Malinowski,Tom Malinowski,D,10051,469,5640,18704,12.025586353944563,39.88059701492537
RepLynch,Stephen F. Lynch,Stephen F. Lynch,D,4804,25,118,414,4.72,16.56
SenatorTester,Senator Jon Tester,Jon Tester,D,114488,2030,197154,460176,97.12019704433497,226.68768472906405
RepKinzinger,Adam Kinzinger,Adam Kinzinger,R,363371,2225,157712,621125,70.88179775280899,279.1573033707865
BernieSanders,Bernie Sanders,Bernie Sanders,D,15318938,5697,18765572,99219386,3293.9392662804985,17416.07618044585
Denver4VA,Denver Lee Riggleman III,Denver Riggleman,R,5655,1033,4278,13694,4.141335914811229,13.256534365924491
RepJohnDuncanJr,Rep John Duncan Jr.,Jimmy Duncan,R,5355,118,316,810,2.6779661016949152,6.864406779661017
RepLoudermilk,Rep. Barry Loudermilk,Barry Loudermilk,R,28823,1618,20969,48197,12.95982694684796,29.788009888751546
MarkWarner,Mark Warner,Mark Warner,D,491887,3292,1995066,5799129,606.0346294046172,1761.5823207776427
VanTaylorTX,Van Taylor,Van Taylor,R,9548,800,2002,7398,2.5025,9.2475
AdamKinzinger,Adam Kinzinger,Adam Kinzinger,R,237829,132,881,2795,6.674242424242424,21.174242424242426
MikeTurnerOH,Mike Turner,Mike Turner,R,1677,57,139,512,2.43859649122807,8.982456140350877
mazieforhawaii,Mazie Hirono,Mazie Hirono,D,7852,7,52,193,7.428571428571429,27.571428571428573
ReElectWittman,Rob Wittman,Rob Wittman,R,1533,291,503,1193,1.7285223367697595,4.099656357388316
JimLangevin,Jim Langevin,James Langevin,D,28869,4036,26473,84783,6.559217046580773,21.006689791873143
JuliaBrownley,Julia Brownley,Julia Brownley,D,3898,116,352,1028,3.0344827586206895,8.862068965517242
AOC,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,D,12767627,4254,23936497,132842514,5626.821109543958,31227.67136812412
DWStweets,Debbie Wasserman Schultz,Debbie Wasserman Schultz,D,349933,1255,70206,199704,55.941035856573706,159.12669322709164
RepGrothman,Rep. Glenn Grothman,Glenn Grothman,R,12490,1862,9112,21443,4.893662728249194,11.51611170784103
PascrellforNJ,"Bill Pascrell, Jr.",Bill Pascrell,D,12529,371,11974,41787,32.274932614555254,112.633423180593
DavidKustoff,David Kustoff,David Kustoff,R,1738,152,619,2410,4.072368421052632,15.855263157894736
CoryGardner,Cory Gardner,Cory Gardner,R,21304,142,2140,9080,15.070422535211268,63.943661971830984
SenatorBurr,Richard Burr,Richard Burr,R,173604,954,65933,196401,69.11215932914047,205.87106918238993
MadeleineDean,Madeleine Dean,Madeleine Dean,D,20058,765,43100,321956,56.33986928104575,420.8575163398693
cathymcmorris,CathyMcMorrisRodgers,Cathy McMorris Rodgers,R,50584,4354,44366,140530,10.189710610932476,32.276067983463484
RepBillFoster,Congressman Bill Foster,Bill Foster,D,49452,1636,20516,63872,12.54034229828851,39.04156479217604
TeamMeadows,Team Meadows,Mark Meadows,R,4510,125,545,1519,4.36,12.152
GeorgeHolding,George Holding,George Holding,R,1319,103,247,383,2.3980582524271843,3.7184466019417477
andybiggs4az,Andy Biggs,Andy Biggs,R,14449,341,5972,15972,17.513196480938415,46.83870967741935
SenatorEnzi,Mike Enzi,Mike Enzi,R,104742,1350,8775,27144,6.5,20.106666666666666
DrKimSchrier,Dr. Kim Schrier,Kim Schrier,D,10935,641,23502,56572,36.66458658346334,88.25585023400936
repblumenauer,Earl Blumenauer,Earl Blumenauer,D,76749,1938,99013,348902,51.09029927760578,180.03199174406603
RepHankJohnson,Rep. Hank Johnson,Hank Johnson,D,56286,2077,39582,112645,19.05729417428984,54.2344727973038
RepJohnFaso,John Faso,John Faso,R,6411,879,2855,8080,3.248009101251422,9.19226393629124
GerryConnolly,Rep. Gerry Connolly,Gerry Connolly,D,77603,2610,116243,299850,44.537547892720305,114.88505747126437
BostForCongress,Mike Bost,Mike Bost,R,1292,85,455,1568,5.352941176470588,18.44705882352941
KendraSHorn,Kendra Horn,Kendra Horn,D,16803,728,9260,68532,12.719780219780219,94.13736263736264
SenCapito,Shelley Moore Capito,Shelley Moore Capito,R,85779,4815,60663,252512,12.598753894080996,52.442782969885776
TinaSmithMN,Tina Smith,Tina Smith,D,86532,2380,130442,533088,54.80756302521009,223.98655462184874
JodyHice,Jody Hice,Jody Hice,R,9506,182,8463,32176,46.5,176.7912087912088
Norma4Congress,Norma Torres,Norma Torres,D,4046,387,1299,4721,3.356589147286822,12.198966408268733
KellyforMS01,Trent Kelly,Trent Kelly,R,396,1,1,6,1.0,6.0
SherrodBrown,Sherrod Brown,Sherrod Brown,D,89905,2395,176078,667880,73.51899791231733,278.8643006263048
RepPeterDeFazio,Rep Peter DeFazio,Peter DeFazio,D,38318,670,22620,70864,33.76119402985075,105.76716417910448
DonYoungAK,Don Young,Don Young,R,1800,71,104,320,1.4647887323943662,4.507042253521127
VoteYvette,Yvette D. Clarke for Congress,Yvette Clarke,D,2775,524,828,2433,1.5801526717557253,4.643129770992366
RepScottPeters,Rep. Scott Peters,Scott Peters,D,28822,5182,42892,132942,8.277113083751447,25.65457352373601
RepCloudTX,Congressman Michael Cloud,Michael Cloud,R,11259,147,10423,31984,70.9047619047619,217.57823129251702
SenFranken,U.S. Senator Al Franken,Al Franken,D,434490,2294,994638,3192975,433.58238884045335,1391.8809938971228
RepTorresSmall,Archived: Rep. Xochitl Torres Small,Xochitl Torres Small,D,19255,643,7069,34643,10.993779160186625,53.87713841368585
SenatorFischer,Senator Deb Fischer,Deb Fischer,R,100351,2849,40073,155278,14.065637065637066,54.5026325026325
virginiafoxx,Virginia Foxx,Virginia Foxx,R,29442,682,9314,27839,13.656891495601172,40.81964809384164
RepLarryBucshon,"Larry Bucshon, MD",Larry Bucshon,R,24369,1212,5478,18598,4.51980198019802,15.344884488448844
RepSmucker,Rep. Lloyd Smucker,Lloyd Smucker,R,12081,1781,33856,134143,19.009545199326222,75.31892195395845
johnthune,John Thune,John Thune,R,27345,1,9,65,9.0,65.0
Andy_Levin,Andy Levin,Andy Levin,D,9872,716,7179,44985,10.026536312849162,62.82821229050279
BrianFitzUSA,Brian Fitzpatrick ,Brian Fitzpatrick,R,2586,301,705,1869,2.3421926910299002,6.209302325581396
LindaTSanchez,Linda Sanchez,Linda Sanchez,D,2497,51,1462,8808,28.666666666666668,172.7058823529412
RepCharlieCrist,Congressman Charlie Crist,Charlie Crist,D,19812,2552,15492,39066,6.070532915360501,15.307993730407523
SenatorRomney,Senator Mitt Romney,Mitt Romney,R,199817,656,170973,805538,260.6295731707317,1227.9542682926829
TomReedNY23,Tom Reed,Tom Reed,R,20267,1698,7665,31560,4.514134275618375,18.586572438162545
LamarSmithTX21,Lamar Smith,Lamar S. Smith,R,22955,1,3,32,3.0,32.0
foxxforcongress,Virginia Foxx,Virginia Foxx,R,2302,113,126,368,1.1150442477876106,3.256637168141593
RepGosar,"Rep. Paul Gosar, DDS",Paul Gosar,R,160314,3157,404865,1270166,128.24358568261007,402.3332277478619
JimmyPanetta,Jimmy Panetta,Jimmy Panetta,D,1926,106,118,370,1.1132075471698113,3.490566037735849
reschenthaler,Guy Reschenthaler,Guy Reschenthaler,R,2927,125,184,764,1.472,6.112
RepAndreCarson,Andre Carson,Andre Carson,D,60880,1338,53127,168015,39.70627802690583,125.57174887892377
RepPaulMitchell,Paul Mitchell,Paul Mitchell,R,36781,1632,11430,44958,7.0036764705882355,27.547794117647058
FrancisRooney,Francis Rooney,Francis Rooney,R,1858,218,183,646,0.8394495412844036,2.963302752293578
RepTrentKelly,Trent Kelly,Trent Kelly,R,12202,1377,10670,43128,7.748729121278141,31.320261437908496
CurtisUT,John Curtis,John Curtis,R,7363,970,3436,18163,3.5422680412371133,18.724742268041236
RepPeteAguilar,Rep. Pete Aguilar,Pete Aguilar,D,17787,945,16331,46332,17.28148148148148,49.02857142857143
JohnLarsonCT,John Larson,John B. Larson,D,3335,995,2749,5787,2.7628140703517587,5.8160804020100505
SenatorRisch,Jim Risch,Jim Risch,R,108800,848,9243,33634,10.899764150943396,39.6627358490566
Sen_JoeManchin,Senator Joe Manchin,Joe Manchin,D,274929,2954,114869,496950,38.88591740013541,168.22951929587
