full_name,party,first_name,last_name
Ken Buck,R,ken,buck
Doug Lamborn,R,doug,lamborn
Mike Coffman,R,mike,coffman
Ed Perlmutter,D,ed,perlmutter
John B. Larson,D,john,larson
Joe Courtney,D,joe,courtney
Rosa DeLauro,D,rosa,delauro
Jim Himes,D,jim,himes
Elizabeth Esty,D,elizabeth,esty
Lisa Blunt Rochester,D,lisa,rochester
Matt Gaetz,R,matt,gaetz
Neal Dunn,R,neal,dunn
Ted Yoho,R,ted,yoho
John Rutherford,R,john,rutherford
Al Lawson,D,al,lawson
Ron DeSantis,R,ron,desantis
Stephanie Murphy,D,stephanie,murphy
Bill Posey,R,bill,posey
Darren Soto,D,darren,soto
Val Demings,D,val,demings
Daniel Webster,R,daniel,webster
Gus Bilirakis,R,gus,bilirakis
Charlie Crist,D,charlie,crist
Kathy Castor,D,kathy,castor
Dennis A. Ross,R,dennis,ross
Vern Buchanan,R,vern,buchanan
Tom Rooney,R,tom,rooney
Brian Mast,R,brian,mast
Francis Rooney,R,francis,rooney
Alcee Hastings,D,alcee,hastings
Lois Frankel,D,lois,frankel
Ted Deutch,D,ted,deutch
Debbie Wasserman Schultz,D,debbie,schultz
Frederica Wilson,D,frederica,wilson
Mario Diaz-Balart,R,mario,diaz-balart
Carlos Curbelo,R,carlos,curbelo
Ileana Ros-Lehtinen,R,ileana,ros-lehtinen
Buddy Carter,R,buddy,carter
Sanford Bishop,D,sanford,bishop
Drew Ferguson,R,drew,ferguson
Hank Johnson,D,hank,johnson
John Lewis,D,john,lewis
Tom Price,R,tom,price
Karen Handel,R,karen,handel
Rob Woodall,R,rob,woodall
Austin Scott,R,austin,scott
Doug Collins,R,doug,collins
Jody Hice,R,jody,hice
Barry Loudermilk,R,barry,loudermilk
Rick W. Allen,R,rick,allen
David Scott,D,david,scott
Tom Graves,R,tom,graves
Colleen Hanabusa,D,colleen,hanabusa
Tulsi Gabbard,D,tulsi,gabbard
Raul Labrador,R,raul,labrador
Mike Simpson,R,mike,simpson
Bobby Rush,D,bobby,rush
Robin Kelly,D,robin,kelly
Dan Lipinski,D,dan,lipinski
Luis Gutierrez,D,luis,gutierrez
Mike Quigley,D,mike,quigley
Peter Roskam,R,peter,roskam
Danny K. Davis,D,danny,davis
Raja Krishnamoorthi,D,raja,krishnamoorthi
Jan Schakowsky,D,jan,schakowsky
Brad Schneider,D,brad,schneider
Bill Foster,D,bill,foster
Mike Bost,R,mike,bost
Rodney Davis,R,rodney,davis
Randy Hultgren,R,randy,hultgren
John Shimkus,R,john,shimkus
Adam Kinzinger,R,adam,kinzinger
Cheri Bustos,D,cheri,bustos
Darin LaHood,R,darin,lahood
Pete Visclosky,D,pete,visclosky
Jackie Walorski,R,jackie,walorski
Jim Banks,R,jim,banks
Todd Rokita,R,todd,rokita
Susan Brooks,R,susan,brooks
Luke Messer,R,luke,messer
Andre Carson,D,andre,carson
Larry Bucshon,R,larry,bucshon
Trey Hollingsworth,R,trey,hollingsworth
Rod Blum,R,rod,blum
Dave Loebsack,D,dave,loebsack
David Young,R,david,young
Steve King,R,steve,king
Roger Marshall,R,roger,marshall
Lynn Jenkins,R,lynn,jenkins
Kevin Yoder,R,kevin,yoder
Mike Pompeo,R,mike,pompeo
Ron Estes,R,ron,estes
James Comer,R,james,comer
Brett Guthrie,R,brett,guthrie
John Yarmuth,D,john,yarmuth
Thomas Massie,R,thomas,massie
Hal Rogers,R,hal,rogers
Andy Barr,R,andy,barr
Steve Scalise,R,steve,scalise
Cedric Richmond,D,cedric,richmond
Clay Higgins,R,clay,higgins
