Token,Uid,Link
SenJackReed,486694111,https://twitter.com/SenJackReed
PatRoberts,586730005,https://twitter.com/PatRoberts
SheldonforRI,770121222,https://twitter.com/SheldonforRI
SenTomCotton,968650362,https://twitter.com/SenTomCotton
SenWarren,970207298,https://twitter.com/SenWarren
SenDuckworth,1058520120,https://twitter.com/SenDuckworth
SenatorFischer,1071402577,https://twitter.com/SenatorFischer
SenatorBaldwin,1074518754,https://twitter.com/SenatorBaldwin
SenatorRisch,1096059529,https://twitter.com/SenatorRisch
EdMarkey,1129029661,https://twitter.com/EdMarkey
SenBrianSchatz,1262099252,https://twitter.com/SenBrianSchatz
Perduesenate,1397501864,https://twitter.com/Perduesenate
braun4indiana,1861019372,https://twitter.com/braun4indiana
chuckschumer,1872999342,https://twitter.com/chuckschumer
HawleyMO,2352629311,https://twitter.com/HawleyMO
SenJoniErnst,2856787757,https://twitter.com/SenJoniErnst
SenDanSullivan,2891210047,https://twitter.com/SenDanSullivan
SenSasse,2962923040,https://twitter.com/SenSasse
SenMcSallyAZ,2964949642,https://twitter.com/SenMcSallyAZ
CatherineForNV,3145735852,https://twitter.com/CatherineForNV
RosenforNevada,4749863113,https://twitter.com/RosenforNevada
SenCortezMasto,811313565760163844,https://twitter.com/SenCortezMasto
SenJackyRosen,818554054309715969,https://twitter.com/SenJackyRosen
SenTinaSmith,941000686275387392,https://twitter.com/SenTinaSmith
SenHydeSmith,983348251972816896,https://twitter.com/SenHydeSmith
SenatorRomney,1078693601356509184,https://twitter.com/SenatorRomney
SenRubioPress,229966028,https://twitter.com/SenRubioPress
SenHawleyPress,1080960924687704064,https://twitter.com/SenHawleyPress
McConnellPress,339822881,https://twitter.com/McConnellPress
InhofePress,20546536,https://twitter.com/InhofePress
Risch4Idaho,1148757025012277249,https://twitter.com/Risch4Idaho
SenatorLoeffler,1200451909406121984,https://twitter.com/SenatorLoeffler
