first_name,last_name,party
tom,cole,R
steve,russell,R
suzanne,bonamici,D
greg,walden,R
earl,blumenauer,D
peter,defazio,D
kurt,schrader,D
bob,brady,D
dwight,evans,D
mike,kelly,R
scott,perry,R
glenn,thompson,R
ryan,costello,R
pat,meehan,R
mary,scanlon,D
brian,fitzpatrick,R
bill,shuster,R
tom,marino,R
lou,barletta,R
keith,rothfus,R
brendan,boyle,D
michael,doyle,D
charlie,dent,R
susan,wild,D
lloyd,smucker,R
matt,cartwright,D
tim,murphy,R
conor,lamb,D
david,cicilline,D
james,langevin,D
mark,sanford,R
joe,wilson,R
jeff,duncan,R
trey,gowdy,R
mick,mulvaney,R
ralph,norman,R
jim,clyburn,D
tom,rice,R
kristi,noem,R
phil,roe,R
jimmy,duncan,R
chuck,fleischmann,R
scott,desjarlais,R
jim,cooper,D
diane,black,R
marsha,blackburn,R
david,kustoff,R
steve,cohen,D
louie,gohmert,R
ted,poe,R
sam,johnson,R
john,ratcliffe,R
jeb,hensarling,R
joe,barton,R
john,culberson,R
kevin,brady,R
al,green,D
michael,mccaul,R
mike,conaway,R
kay,granger,R
mac,thornberry,R
randy,weber,R
vicente,gonzalez,D
beto,orourke,D
bill,flores,R
sheila,lee,D
jodey,arrington,R
joaquin,castro,D
lamar,smith,R
pete,olson,R
will,hurd,R
kenny,marchant,R
roger,williams,R
michael,burgess,R
blake,farenthold,R
michael,cloud,R
henry,cuellar,D
gene,green,D
eddie,johnson,D
john,carter,R
pete,sessions,R
marc,veasey,D
filemon,vela,D
lloyd,doggett,D
brian,babin,R
rob,bishop,R
chris,stewart,R
jason,chaffetz,R
john,curtis,R
mia,love,R
peter,welch,D
rob,wittman,R
scott,taylor,R
bobby,scott,D
donald,mceachin,D
tom,garrett,R
bob,goodlatte,R
dave,brat,R
don,beyer,D
morgan,griffith,R
barbara,comstock,R
gerry,connolly,D
suzan,delbene,D
rick,larsen,D
jaime,beutler,R
dan,newhouse,R
cathy,rodgers,R
derek,kilmer,D
pramila,jayapal,D
dave,reichert,R
adam,smith,D
dennis,heck,D
david,mckinley,R
alex,mooney,R
evan,jenkins,R
paul,ryan,R
mark,pocan,D
ron,kind,D
gwen,moore,D
jim,sensenbrenner,R
glenn,grothman,R
sean,duffy,R
mike,gallagher,R
liz,cheney,R
amata,radewagen,R
eleanor,norton,D
madeleine,bordallo,D
gregorio,sablan,I(D)
stacey,plaskett,D
mark,kelly,D
rick,scott,R
kelly,loeffler,R
mike,braun,R
josh,hawley,R
mitt,romney,R
ann,kirkpatrick,D
greg,stanton,D
josh,harder,D
tj,cox,D
katie,hill,D
mike,garcia,R
gil,cisneros,D
katie,porter,D
harley,rouda,D
mike,levin,D
joe,neguse,D
jason,crow,D
jahana,hayes,D
michael,waltz,R
ross,spano,R
greg,steube,R
debbie,mucarselpowell,D
donna,shalala,D
kwanza,hall,D
lucy,mcbath,D
ed,case,D
russ,fulcher,R
jesus,garcia,D
sean,casten,D
lauren,underwood,D
jim,baird,R
greg,pence,R
abby,finkenauer,D
cindy,axne,D
steve,watkins,R
sharice,davids,D
jared,golden,D
david,trone,D
kweisi,mfume,D
lori,trahan,D
joe,kennedy,D
ayanna,pressley,D
elissa,slotkin,D
andy,levin,D
haley,stevens,D
rashida,tlaib,D
jim,hagedorn,R
angie,craig,D
dean,phillips,D
