user,first_name,last_name,party
SenatorTester,jon,tester,D
SenatorMenendez,bob,menendez,D
JohnBoozman,john,boozman,R
maziehirono,mazie,hirono,D
Sen_JoeManchin,joe,manchin,D
SenatorFischer,deb,fischer,R
SenBennetCO,michael,bennet,D
SenStabenow,debbie,stabenow,D
SenSasse,ben,sasse,R
SenBrianSchatz,brian,schatz,D
SenatorRisch,jim,risch,R
SenMikeLee,mike,lee,R
SenWarren,warren,davidson,R
SenBlumenthal,richard,blumenthal,D
sendavidperdue,david,perdue,R
SenFranken,al,franken,D
BillCassidy,bill,cassidy,R
SenCoryGardner,cory,gardner,R
lisamurkowski,lisa,murkowski,R
SenatorCantwell,maria,cantwell,D
SenatorBaldwin,tammy,baldwin,D
SenDonnelly,joe,donnelly,D
SenatorWicker,roger,wicker,R
amyklobuchar,amy,klobuchar,D
SenatorHeitkamp,heidi,heitkamp,D
SenJoniErnst,joni,ernst,R
ChrisCoons,chris,coons,D
MarkWarner,mark,warner,D
JohnCornyn,john,cornyn,R
SenRonJohnson,ron,johnson,R
SenatorLeahy,patrick,leahy,D
SenSchumer,chuck,schumer,D
SenJohnKennedy,john,kennedy,R
SenJeffMerkley,jeff,merkley,D
RoyBlunt,roy,blunt,R
SenShelby,richard,shelby,R
SenJohnHoeven,john,hoeven,R
RandPaul,rand,paul,R
SenDanSullivan,dan,sullivan,R
SenatorTimScott,tim,scott,R
SenMarkey,ed,markey,D
KYComer,james,comer,R
RepJackyRosen,jacky,rosen,D
RepEspaillat,adriano,espaillat,D
RepTrey,trey,hollingsworth,R
RepDwightEvans,dwight,evans,D
RogerMarshallMD,roger,marshall,R
USRepLong,billy,long,R
RepByrne,bradley,byrne,R
Robert_Aderholt,robert,aderholt,R
USRepGaryPalmer,gary,palmer,R
rep_stevewomack,steve,womack,R
RepRickCrawford,rick,crawford,R
RepDeSaulnier,mark,desaulnier,D
CongressmanRuiz,raul,ruiz,D
RepThompson,thom,tillis,R
NormaJTorres,norma,torres,D
RepCarbajal,salud,carbajal,D
RepAdamSchiff,adam,schiff,D
RepSpeier,jackie,speier,D
RepKarenBass,karen,bass,D
RepSwalwell,eric,swalwell,D
KenCalvert,ken,calvert,R
SteveKnight25,steve,knight,R
RepMimiWalters,mimi,walters,R
NancyPelosi,nancy,pelosi,D
RepMcNerney,jerry,mcnerney,D
RepEdRoyce,ed,royce,R
RepJeffDenham,jeff,denham,R
RepJimCosta,jim,costa,D
