user,first_name,last_name,party
Dr_RaulRuiz,raul,ruiz,D
BradSherman4SFV,brad,sherman,D
jamie_raskin,jamie,raskin,D
LacyClayMO1,lacy,clay,D
standwithbarry,barry,loudermilk,R
Troy_Balderson,troy,balderson,R
katieporteroc,katie,porter,D
IlhanMN,ilhan,omar,D
RepDavidRouzer,david,rouzer,R
SeanDuffyWI,sean,duffy,R
WhipClyburn,jim,clyburn,D
RepBenMcAdams,ben,mcadams,D
gregstantonaz,greg,stanton,D
RepBrendanBoyle,brendan,boyle,D
sethmoulton,seth,moulton,D
CheriBustos,cheri,bustos,D
StenyHoyer,steny,hoyer,D
Schneider4IL10,brad,schneider,D
Deb4CongressNM,deb,haaland,D
RussFulcher,russ,fulcher,R
BradleyByrne,bradley,byrne,R
BeraForCongress,ami,bera,D
DevinNunes,devin,nunes,R
SeanCasten,sean,casten,D
RepSchakowsky,jan,schakowsky,D
AlLawsonJr,al,lawson,D
Ed4Colorado,ed,perlmutter,D
barrforcongress,andy,barr,R
DWStweets,debbie,schultz,D
Harris4Congress,andy,harris,R
McGovernMA,vern,buchanan,R
Steve4Kansas,steve,watkins,R
AdamSchiff,adam,schiff,D
WebsterCongress,daniel,webster,R
AOC,alexandria,ocasiocortez,D
CedricRichmond,cedric,richmond,D
AdamKinzinger,adam,kinzinger,R
repbenraylujan,ben,lujan,D
tedlieu,ted,lieu,D
gregsteube,greg,steube,R
TomGravesGA14,tom,graves,R
DebbieLesko,debbie,lesko,R
RobinLynneKelly,robin,kelly,D
deanbphillips,dean,phillips,D
jackiewalorski,jackie,walorski,R
kevinomccarthy,kevin,mccarthy,R
tommcclintock,tom,mcclintock,R
leezeldin,lee,zeldin,R
PeteOlson,pete,olson,R
SpeakerPelosi,nancy,pelosi,D
JohnGaramendi,john,garamendi,D
DavidSchweikert,david,schweikert,R
LeaderHoyer,steny,hoyer,D
KatherineClark,katherine,clark,D
TulsiGabbard,tulsi,gabbard,D
HarleyRouda,harley,rouda,D
JohnLarsonCT,john,larson,D
Matsui4Congress,doris,matsui,D
jerrymcnerney,jerry,mcnerney,D
JoeCourtneyCT,joe,courtney,D
Foster4Congress,bill,foster,D
KingforCongress,steve,king,R
JohnSarbanes,john,sarbanes,D
Ann_Kirkpatrick,ann,kirkpatrick,D
ScottPetersSD,scott,peters,D
Nanette4CA,nanette,barragan,D
JaredHuffman,jared,huffman,D
SusanBrooksIN,susan,brooks,R
rickallen,rick,allen,R
RepHorsford,steven,horsford,D
BLeeForCongress,lee,zeldin,R
joekennedy,joe,kennedy,D
Eshoo4Congress,anna,eshoo,D
JackieSpeier,jackie,speier,D
RepDean,madeleine,dean,D
garretgraves,garret,graves,R
RossSpano,ross,spano,R
RoKhanna,ro,khanna,D
michaelgwaltz,michael,waltz,R
DeGette5280,diana,degette,D
WestermanAR,bruce,westerman,R
JimHagedornMN,jim,hagedorn,R
JamesComer,james,comer,R
MarkMeadows,mark,meadows,R
ReElectCummings,elijah,cummings,D
BostForCongress,mike,bost,R
Palmer4Alabama,gary,palmer,R
Norma4Congress,norma,torres,D
DocAbraham,ralph,abraham,R
DonYoungAK,don,young,R
carbajalsalud,salud,carbajal,D
val_demings,val,demings,D
JimmyPanetta,jimmy,panetta,D
JohnMShimkus,john,shimkus,R
davidjtrone,david,trone,D
andybiggs4az,andy,biggs,R
RonEstesKS,ron,estes,R
DebbieforFL,debbie,mucarselpowell,D
Malinowski,tom,malinowski,D
KatieHill4CA,katie,hill,D
JasonCrowCO6,jason,crow,D
Axne4Congress,cindy,axne,D
GilCisnerosCA,gil,cisneros,D
TJCoxCongress,tj,cox,D
golden4congress,jared,golden,D
RepJohnCurtis,john,curtis,R
lucymcbath,lucy,mcbath,D
RepConorLamb,conor,lamb,D
JahanaHayesCT,jahana,hayes,D
CaptClayHiggins,clay,higgins,R
RepTimBurchett,tim,burchett,R
RepHoulahan,chrissy,houlahan,D
RepShalala,donna,shalala,D
RepMGS,mary,scanlon,D
repkevinhern,kevin,hern,R
RepMikeLevin,mike,levin,D
RepDustyJohnson,dusty,johnson,R
RepHarley,harley,rouda,D
RepEscobar,veronica,escobar,D
RepFletcher,lizzie,fletcher,D
RepColinAllred,colin,allred,D
RepRussFulcher,russ,fulcher,R
RepSpanberger,abigail,spanberger,D
RepSusieLee,susie,lee,D
RepJasonCrow,jason,crow,D
RepAngieCraig,angie,craig,D
BuckForColorado,ken,buck,R
CharlieCrist,charlie,crist,D
aguilarpete,pete,aguilar,D
JuliaBrownley,julia,brownley,D
RubenGallego,ruben,gallego,D
mattgaetz,matt,gaetz,R
TedDeutch,ted,deutch,D
ReElectHank,hank,johnson,D
womack4congress,mac,thornberry,R
KarenBassTweets,karen,bass,D
collinpeterson,collin,peterson,D
standwithraul,raul,grijalva,D
Rep_Watkins,steve,watkins,R
JodyHice,jody,hice,R
RepMarkGreen,mark,green,R
RepRiggleman,denver,riggleman,R
RepDavids,sharice,davids,D
RepSherrill,mikie,sherrill,D
RepMeuser,dan,meuser,R
RepSylviaGarcia,sylvia,garcia,D
RepRonWright,ron,wright,R
RepTjCox,tj,cox,D
RepGolden,jared,golden,D
RepDMP,debbie,mucarselpowell,D
RepGilCisneros,gil,cisneros,D
RepKatiePorter,katie,porter,D
RepKirkpatrick,ann,kirkpatrick,D
RepMichaelGuest,michael,guest,R
RepJohnRose,john,rose,R
RepJahanaHayes,jahana,hayes,D
RepGregPence,greg,pence,R
RepMichaelWaltz,michael,waltz,R
RepChipRoy,chip,roy,R
RepGregSteube,greg,steube,R
RepJimBaird,jim,baird,R
MadeleineDean,madeleine,dean,D
anthonygonzalez,anthony,gonzalez,R
auctnr1,billy,long,R
AndyKimNJ,andy,kim,D
AnnLWagner,ann,wagner,R
BenMcAdams,ben,mcadams,D
BobbyScott4VA3,bobby,scott,D
BrendaLLawrence,brenda,lawrence,D
buddforcongress,ted,budd,R
dankildee,dan,kildee,D
davidcicilline,david,cicilline,D
dinatitus,dina,titus,D
electadamsmith,adam,smith,D
foxxforcongress,virginia,foxx,R
ChrisPappasNH,chris,pappas,D
Cline4Virginia,virginia,foxx,R
ColinAllredTX,colin,allred,D
CurtisUT,john,curtis,R
DaveForIowa,dave,loebsack,D
Denver4VA,denver,riggleman,R
DonBeyerVA,don,beyer,D
DrKimSchrier,kim,schrier,D
DunnCampaign,neal,dunn,R
DwightEvansPA,dwight,evans,D
EliseStefanik,elise,stefanik,R
EspaillatNY,adriano,espaillat,D
GeorgeHolding,george,holding,R
Grace4NY,grace,meng,D
GrothmanforWI,ro,khanna,D
GuestCongress,michael,guest,R
HaleyLive,haley,stevens,D
HoulahanForPa,chrissy,houlahan,D
JackBergman_MI1,jack,bergman,R
JasonSmithMO,jason,smith,R
JerryNadler,jerry,nadler,D
JodeyArrington,jodey,arrington,R
JohnJoyceForPA,john,joyce,R
JohnsonLeads,bill,johnson,R
petekingcpg,peter,king,R
krhern,kevin,hern,R
latta4congress,bob,latta,R
mlfudge,marcia,fudge,D
spmaloney,carolyn,maloney,D
KathleenRice,kathleen,rice,D
KellyforMS01,trent,kelly,R
LangevinForRI,james,langevin,D
Liz_Cheney,liz,cheney,R
LloydDoggettTX,lloyd,doggett,D
LouieGohmertTX1,louie,gohmert,R
MacThornberry,mac,thornberry,R
Marcy_Kaptur,marcy,kaptur,D
MarkPocan,mark,pocan,D
MarkwayneMullin,markwayne,mullin,R
MaxRose4NY,max,rose,D
Meuser4Congress,dan,meuser,R
Mike_CA05,mike,thompson,D
MikeKellyforPA,mike,kelly,R
MikeTurnerOH,mike,turner,R
MorganGriffith,morgan,griffith,R
PascrellforNJ,bill,pascrell,D
PeteStauber,pete,stauber,R
RajaForCongress,raja,krishnamoorthi,D
RashidaTlaib,rashida,tlaib,D
ReElectCohen,steve,cohen,D
ReElectWittman,rob,wittman,R
RepAOC,alexandria,ocasiocortez,D
RepHagedorn,jim,hagedorn,R
RepMalinowski,tom,malinowski,D
RepRossSpano,ross,spano,R
RichHudson,richard,hudson,R
Rosa_DeLauro,rosa,delauro,D
stevestivers,steve,stivers,R
timburchett,tim,burchett,R
tndesjarlais,scott,desjarlais,R
tomemmer,tom,emmer,R
vgescobar,veronica,escobar,D
votegregwalden,greg,walden,R
voteloucorrea,lou,correa,D
votemorelle,mo,brooks,R
wildforcongress,susan,wild,D
StevenHorsford,steven,horsford,D
StevenPalazzo,steven,palazzo,R
StewartforUtah,chris,stewart,R
SusieLeeNV,susie,lee,D
SuzanDelBene,suzan,delbene,D
TeamCalvert,ken,calvert,R
TeamCMR,cathy,rodgers,R
TeamMeadows,mark,meadows,R
TeamPelosi,nancy,pelosi,D
TeamVisclosky,pete,visclosky,D
TimRyan,tim,ryan,D
TimWalberg,tim,walberg,R
Tom_Suozzi,thomas,suozzi,D
TomReedCongress,tom,reed,R
UptonForAllOfUs,fred,upton,R
VanTaylorTX,van,taylor,R
VickyH4Congress,vicky,hartzler,R
Vote4Cleaver,emanuel,cleaver,D
Vote_Davidson,warren,davidson,R
VoteYvette,yvette,clarke,D
WeberforTexas,randy,weber,R
WelchForVT,peter,welch,D
WillHurd,will,hurd,R
XochforCongress,xochitl,small,D
hakeem_jeffries,hakeem,jeffries,D
RepGregMurphy,greg,murphy,R
CollinsforGA,collin,peterson,D
RepDanBishop,dan,bishop,R
MikeLevin,mike,levin,D
RepRaulRuizMD,raul,ruiz,D
